Ns,A,U1,err[U1],U2,err[U2],U3,err[U3],U4,err[U4],U5,err[U5],C,omit
38,4410,11.39,1.8,16.07,1.6,14.72,1.6,,,,,,
48,4410,19.63,1.4,17.96,1.5,18.02,1.5,,,,,,
114,4410,44.29,0.95,71.39,0.77,58.42,0.82,,,,,,
13,4410,4.99,2.8,6.3,2.5,4.44,2.9,,,,,,
25,4410,12.26,1.8,9.76,2,9.65,2.1,,,,,,
49,4410,30.21,1.2,35.25,1.1,31.07,1.1,,,,,,
39,4410,25.91,1.2,15.4,1.6,23.13,1.3,,,,,,
18,1470,18.1,1.5,,,,,,,,,,
26,2940,25.06,1.3,14.93,1.6,,,,,,,,
24,1470,26.66,1.2,,,,,,,,,,
55,4410,22.6,1.3,13.98,1.7,26.44,1.2,,,,,,
38,2940,22.5,1.3,25.33,1.3,,,,,,,,
61,4410,21.88,1.4,22.48,1.3,27.53,1.2,,,,,,
82,4410,44.22,0.95,24.84,1.3,38.24,1,,,,,,
16,1470,13.46,1.7,,,,,,,,,,
38,2940,33.04,1.1,22.67,1.3,,,,,,,,
42,2940,29.96,1.2,31.53,1.1,,,,,,,,
31,4410,8.75,2.2,11.62,1.9,8.07,2.2,,,,,,
15,1470,22.52,1.3,,,,,,,,,,
27,1470,27.76,1.2,,,,,,,,,,
34,2940,20.43,1.4,16.7,1.6,,,,,,,,
6,1470,14.93,1.6,,,,,,,,,,
48,1470,60.43,0.81,,,,,,,,,,
16,1470,16.34,1.6,,,,,,,,,,
31,4410,19.83,1.4,15.71,1.6,13.29,1.7,,,,,,
