Ns,A,U1,err[U1],U2,err[U2],U3,err[U3],U4,err[U4],U5,err[U5],C,omit
38,4410,11.39,0.21,16.07,0.25,14.72,0.24,,,,,,
48,4410,19.63,0.28,17.96,0.27,18.02,0.27,,,,,,
114,4410,44.29,0.42,71.39,0.54,58.42,0.47,,,,,,
13,4410,4.99,0.14,6.3,0.16,4.44,0.13,,,,,,
25,4410,12.26,0.22,9.76,0.2,9.65,0.2,,,,,,
49,4410,30.21,0.35,35.25,0.39,31.07,0.36,,,,,,
39,4410,25.91,0.32,15.4,0.25,23.13,0.3,,,,,,
18,1470,18.1,0.27,,,,,,,,,,
26,2940,25.06,0.33,14.93,0.24,,,,,,,,
24,1470,26.66,0.33,,,,,,,,,,
55,4410,22.6,0.31,13.98,0.24,26.44,0.33,,,,,,
38,2940,22.5,0.3,25.33,0.32,,,,,,,,
61,4410,21.88,0.3,22.48,0.3,27.53,0.33,,,,,,
82,4410,44.22,0.42,24.84,0.32,38.24,0.38,,,,,,
16,1470,13.46,0.23,,,,,,,,,,
38,2940,33.04,0.36,22.67,0.29,,,,,,,,
42,2940,29.96,0.34,31.53,0.36,,,,,,,,
31,4410,8.75,0.19,11.62,0.22,8.07,0.18,,,,,,
15,1470,22.52,0.3,,,,,,,,,,
27,1470,27.76,0.33,,,,,,,,,,
34,2940,20.43,0.29,16.7,0.26,,,,,,,,
6,1470,14.93,0.24,,,,,,,,,,
48,1470,60.43,0.48,,,,,,,,,,
16,1470,16.34,0.26,,,,,,,,,,
31,4410,19.83,0.28,15.71,0.25,13.29,0.23,,,,,,
